votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
386,51.95,1,1,0,ultimo,536,151,233
562,60.3,1,0,0,ultimo,537,211,350
436,63.1,1,1,0,ultimo,538,177,257
335,63.45,0,0,0,ultimo,539,129,206
506,66.14,2,1,0,ultimo,540,187,316
404,62.44,2,1,0,ultimo,541,127,274
325,60.07,0,0,0,ultimo,542,110,215
291,59.51,0,2,0,ultimo,543,89,200
416,63.32,2,0,0,ultimo,544,130,284
361,55.11,1,0,0,ultimo,545,122,238
308,48.43,3,1,0,ultimo,546,117,187
327,54.5,1,0,0,ultimo,547,127,199
568,70.04,4,4,0,ultimo,548,194,366
360,53.81,0,0,0,ultimo,549,142,218
246,43.31,1,1,0,ultimo,550,77,167
374,51.94,5,1,0,ultimo,551,145,223
320,52.98,0,0,0,ultimo,552,117,203
369,57.84,1,0,0,ultimo,553,148,220
358,57.37,0,0,0,ultimo,554,136,222
407,58.56,3,0,0,ultimo,555,146,258
355,55.21,1,1,0,ultimo,556,120,233
351,49.86,3,0,0,ultimo,557,164,184
323,57.47,1,0,0,ultimo,558,117,205
399,56.52,0,1,0,ultimo,559,148,250
432,61.28,4,3,0,ultimo,560,159,266
393,58.14,0,0,0,ultimo,561,126,267
388,67.24,3,1,0,ultimo,562,108,276
410,65.71,0,0,0,ultimo,563,147,263
405,58.36,3,1,0,ultimo,564,131,270
412,71.53,1,2,0,ultimo,565,163,246
415,60.23,0,1,0,ultimo,566,147,267
417,58.49,2,0,0,ultimo,567,166,249
409,49.22,1,1,0,ultimo,568,155,252
356,56.51,0,1,0,ultimo,569,131,224
384,56.47,5,0,0,ultimo,570,138,241
571,69.3,3,0,0,ultimo,571,225,343
445,60.63,3,2,0,ultimo,572,156,284
553,68.02,2,0,0,ultimo,573,173,378
328,49.32,2,1,0,ultimo,574,112,213
571,64.23,3,0,0,ultimo,575,175,393
412,56.75,3,1,0,ultimo,576,172,236
353,58.15,1,0,0,ultimo,577,137,215
335,50.76,2,2,0,ultimo,578,151,180
404,68.36,1,0,0,ultimo,579,182,221
537,74.38,0,1,0,ultimo,580,216,320
471,61.09,2,0,0,ultimo,581,176,293
295,65.85,0,0,0,ultimo,582,123,172
190,70.11,0,0,0,ultimo,583,56,134
518,63.09,4,1,0,ultimo,584,192,321
320,50.31,0,1,0,ultimo,585,104,215
471,59.02,1,0,0,ultimo,586,127,343
448,62.31,0,1,0,ultimo,587,148,299
366,55.04,3,2,0,ultimo,588,126,235
489,57.19,2,0,0,ultimo,589,129,358
525,64.58,3,1,0,ultimo,590,162,359
450,63.65,0,1,0,ultimo,591,165,284
422,56.95,1,0,0,ultimo,592,138,283
495,64.71,0,1,0,ultimo,593,185,309
443,70.09,0,0,0,ultimo,594,165,278
465,66.81,1,0,0,ultimo,595,148,316
376,64.6,4,0,0,ultimo,596,130,242
452,62.17,1,0,0,ultimo,597,133,318
328,59.96,2,0,0,ultimo,598,110,216
355,57.82,3,0,0,ultimo,599,118,234
