"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 365";"";"20,22";"51,94";"63,05";"72,28"
"SEZIONE 366";"";"22,22";"51,85";"57,83";"68,80"
"SEZIONE 367";"";"17,76";"47,10";"57,58";"68,93"
"SEZIONE 368";"";"18,49";"51,49";"62,16";"73,97"
"SEZIONE 370";"";"19,69";"48,85";"58,63";"69,31"
"SEZIONE 371";"";"19,74";"45,39";"54,61";"65,79"
"SEZIONE 372";"";"17,90";"52,42";"64,78";"77,83"
"SEZIONE 373";"";"17,80";"48,57";"57,62";"70,89"
"SEZIONE 375";"";"15,72";"46,96";"54,72";"68,03"
"SEZIONE 377";"";"20,93";"47,67";"54,65";"65,58"
"SEZIONE 378";"";"21,02";"49,34";"59,12";"72,85"
"SEZIONE 379";"";"19,93";"51,81";"61,71";"72,71"
"SEZIONE 381";"";"17,93";"51,95";"61,71";"72,32"
"SEZIONE 383";"";"15,70";"38,82";"46,15";"55,38"
"SEZIONE 384";"";"17,05";"46,59";"58,59";"69,44"
"SEZIONE 385";"";"19,65";"48,50";"58,58";"67,08"
"SEZIONE 386";"";"15,55";"47,05";"56,71";"68,09"
"SEZIONE 387";"";"20,81";"49,80";"59,19";"70,47"
"SEZIONE 388";"";"24,39";"55,32";"62,64";"74,83"
"SEZIONE 389";"";"19,81";"53,54";"63,63";"75,99"
"SEZIONE 391";"";"16,50";"49,17";"59,96";"72,06"
"SEZIONE 393";"";"23,50";"45,53";"56,30";"67,93"
"SEZIONE 394";"";"15,69";"50,20";"55,10";"65,69"
"SEZIONE 396";"";"11,34";"43,68";"51,11";"64,67"
"SEZIONE 397";"";"16,21";"48,10";"57,33";"72,21"
"SEZIONE 399";"";"18,64";"55,18";"62,85";"73,33"
"SEZIONE 400";"";"15,94";"48,51";"57,62";"69,50"
"SEZIONE 401";"";"18,00";"46,68";"57,71";"72,10"
"SEZIONE 402";"";"19,83";"51,29";"65,09";"80,17"
"SEZIONE 403";"";"16,02";"45,40";"54,32";"65,88"
"SEZIONE 406";"";"19,28";"48,68";"58,90";"70,60"
"SEZIONE 407";"";"20,07";"50,19";"58,98";"70,38"
"SEZIONE 409";"";"21,57";"53,53";"60,72";"73,43"
"SEZIONE 411";"";"19,01";"47,08";"54,53";"64,33"
"SEZIONE 414";"";"19,19";"47,47";"55,05";"69,57"
