"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 381";"";"18,94";"51,36";"57,55"
"SEZIONE 382";"";"15,99";"43,10";"52,04"
"SEZIONE 383";"";"16,59";"46,29";"54,59"
"SEZIONE 384";"";"18,68";"43,85";"52,09"
"SEZIONE 385";"";"17,63";"47,13";"54,75"
"SEZIONE 386";"";"18,16";"46,64";"56,20"
"SEZIONE 387";"";"16,97";"46,18";"56,74"
"SEZIONE 388";"";"16,98";"48,74";"57,61"
"SEZIONE 389";"";"15,20";"36,71";"45,74"
"SEZIONE 390";"";"17,35";"42,57";"53,31"
"SEZIONE 391";"";"15,89";"41,63";"49,47"
"SEZIONE 392";"";"16,57";"44,03";"55,97"
"SEZIONE 393";"";"21,62";"49,39";"57,86"
"SEZIONE 394";"";"13,92";"33,05";"43,74"
"SEZIONE 395";"";"14,68";"39,87";"49,51"
"SEZIONE 396";"";"20,76";"46,12";"54,99"
"SEZIONE 397";"";"16,02";"39,42";"49,56"
"SEZIONE 398";"";"12,87";"32,49";"39,87"
"SEZIONE 399";"";"11,16";"35,74";"41,01"
"SEZIONE 400";"";"14,82";"38,02";"48,07"
"SEZIONE 401";"";"14,00";"39,44";"50,53"
"SEZIONE 402";"";"14,77";"42,76";"51,20"
"SEZIONE 403";"";"16,08";"47,06";"58,17"
"SEZIONE 404";"";"17,34";"45,64";"55,70"
"SEZIONE 405";"";"20,20";"42,99";"52,19"
"SEZIONE 406";"";"19,63";"47,12";"56,07"
"SEZIONE 407";"";"16,24";"39,45";"48,10"
"SEZIONE 408";"";"19,79";"49,37";"59,26"
"SEZIONE 409";"";"20,20";"48,88";"60,27"
"SEZIONE 410";"";"22,39";"49,25";"60,77"
"SEZIONE 411";"";"19,05";"47,25";"56,04"
"SEZIONE 412";"";"17,49";"42,30";"50,38"
"SEZIONE 413";"";"15,02";"43,86";"51,37"
"SEZIONE 414";"";"17,27";"43,05";"55,19"
"SEZIONE 415";"";"22,42";"50,28";"59,49"
"SEZIONE 416";"";"18,24";"43,76";"55,37"
"SEZIONE 417";"";"15,15";"44,05";"53,68"
"SEZIONE 418";"";"15,78";"41,57";"54,34"
"SEZIONE 419";"";"20,27";"47,38";"57,72"
"SEZIONE 420";"";"16,68";"42,73";"52,42"
"SEZIONE 421";"";"19,08";"46,56";"56,49"
"SEZIONE 422";"";"18,59";"45,39";"54,10"
"SEZIONE 423";"";"16,61";"42,48";"50,42"
"SEZIONE 424";"";"16,14";"44,77";"54,73"
