"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 348";"";"18,67";"52,29";"60,07";"74,41"
"SEZIONE 349";"";"21,71";"53,56";"62,85";"73,34"
"SEZIONE 350";"";"12,89";"25,29";"30,67";"42,25"
"SEZIONE 351";"";"20,10";"45,89";"55,07";"65,31"
"SEZIONE 352";"";"17,24";"50,78";"57,68";"71,79"
"SEZIONE 353";"";"18,73";"42,89";"49,22";"63,18"
"SEZIONE 354";"";"11,86";"26,45";"29,06";"39,26"
"SEZIONE 355";"";"15,31";"40,60";"48,92";"63,51"
"SEZIONE 356";"";"15,43";"40,76";"48,00";"60,38"
"SEZIONE 357";"";"10,28";"34,72";"42,87";"52,96"
"SEZIONE 358";"";"15,81";"42,40";"50,13";"60,90"
"SEZIONE 359";"";"12,08";"36,62";"42,79";"56,84"
"SEZIONE 360";"";"13,80";"40,05";"47,85";"58,78"
"SEZIONE 361";"";"18,40";"48,09";"57,38";"68,76"
"SEZIONE 362";"";"15,66";"38,89";"47,58";"62,63"
"SEZIONE 363";"";"20,53";"51,03";"58,60";"72,82"
"SEZIONE 364";"";"19,00";"49,28";"58,19";"70,64"
"SEZIONE 365";"";"18,60";"50,82";"59,52";"70,97"
"SEZIONE 366";"";"18,45";"44,13";"49,83";"63,69"
"SEZIONE 367";"";"15,50";"46,00";"51,54";"67,04"
"SEZIONE 368";"";"15,37";"35,83";"40,37";"52,54"
"SEZIONE 369";"";"12,59";"35,06";"40,49";"51,23"
"SEZIONE 370";"";"14,79";"37,36";"44,04";"56,60"
"SEZIONE 371";"";"14,57";"36,72";"40,82";"51,14"
"SEZIONE 372";"";"17,27";"48,06";"56,17";"69,21"
"SEZIONE 373";"";"14,24";"39,24";"49,83";"63,19"
"SEZIONE 374";"";"14,86";"41,71";"49,28";"61,27"
"SEZIONE 375";"";"9,36";"26,20";"34,96";"47,91"
"SEZIONE 376";"";"15,35";"42,06";"50,05";"62,78"
"SEZIONE 377";"";"19,56";"48,41";"59,83";"72,83"
"SEZIONE 378";"";"19,74";"50,88";"59,81";"73,91"
"SEZIONE 379";"";"16,06";"45,89";"57,07";"71,32"
"SEZIONE 380";"";"17,57";"46,90";"57,13";"69,78"
"SEZIONE 381";"";"19,80";"40,03";"46,07";"58,15"
"SEZIONE 382";"";"16,85";"43,07";"52,25";"62,92"
"SEZIONE 383";"";"19,18";"41,14";"46,69";"62,04"
"SEZIONE 384";"";"17,93";"43,09";"50,32";"60,04"
"SEZIONE 385";"";"14,60";"45,39";"53,25";"65,84"
"SEZIONE 386";"";"14,86";"39,96";"47,49";"61,58"
"SEZIONE 387";"";"18,92";"40,65";"46,02";"55,91"
"SEZIONE 388";"";"12,67";"33,19";"37,92";"51,77"
"SEZIONE 389";"";"14,01";"37,49";"43,72";"56,45"
"SEZIONE 390";"";"14,13";"38,56";"47,13";"58,25"
"SEZIONE 391";"";"18,71";"52,13";"59,97";"73,73"
"SEZIONE 392";"";"19,33";"43,37";"50,11";"62,92"
"SEZIONE 393";"";"20,37";"51,95";"62,14";"75,55"
"SEZIONE 394";"";"28,16";"47,65";"54,51";"70,40"
"SEZIONE 395";"";"14,13";"45,32";"53,03";"67,89"
"SEZIONE 396";"";"18,07";"41,90";"47,35";"62,77"
"SEZIONE 397";"";"21,27";"46,69";"54,83";"71,96"
"SEZIONE 398";"";"17,16";"34,33";"39,74";"56,34"
"SEZIONE 399";"";"20,80";"48,85";"57,82";"71,37"
"SEZIONE 400";"";"17,76";"45,63";"52,46";"67,08"
"SEZIONE 401";"";"17,18";"40,65";"49,32";"66,67"
"SEZIONE 402";"";"13,23";"28,68";"34,86";"45,12"
"SEZIONE 403";"";"19,18";"47,01";"53,14";"67,30"
"SEZIONE 404";"";"19,37";"44,94";"51,39";"64,18"
"SEZIONE 405";"";"24,03";"46,98";"52,25";"57,21"
"SEZIONE 406";"";"22,35";"47,24";"52,76";"69,17"
"SEZIONE 407";"";"19,83";"51,18";"59,68";"73,94"
"SEZIONE 408";"";"19,01";"45,60";"51,93";"64,30"
"SEZIONE 409";"";"18,73";"40,32";"62,38";"75,40"
"SEZIONE 410";"";"18,76";"43,47";"50,82";"60,20"
"SEZIONE 411";"";"22,32";"44,99";"50,29";"64,21"
"SEZIONE 412";"";"21,95";"45,06";"51,26";"67,01"
"SEZIONE 413";"";"15,82";"41,75";"46,97";"59,76"
