"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 223";"";"12,93";"30,93";"34,27";"47,73"
"SEZIONE 224";"";"18,19";"40,48";"44,43";"58,53"
"SEZIONE 225";"";"14,11";"35,97";"40,00";"51,47"
"SEZIONE 226";"";"15,92";"36,32";"40,81";"54,41"
"SEZIONE 227";"";"16,61";"35,65";"40,65";"52,90"
"SEZIONE 228";"";"23,03";"36,18";"41,45";"54,61"
"SEZIONE 229";"";"17,49";"41,02";"47,54";"60,73"
"SEZIONE 230";"";"18,12";"41,54";"47,18";"61,37"
"SEZIONE 231";"";"20,52";"44,13";"50,58";"65,29"
"SEZIONE 232";"";"16,12";"38,50";"44,60";"59,31"
"SEZIONE 233";"";"19,36";"47,21";"56,69";"69,92"
"SEZIONE 234";"";"17,58";"41,94";"50,60";"64,58"
"SEZIONE 235 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 236";"";"16,65";"41,40";"52,83";"63,04"
"SEZIONE 237";"";"14,87";"41,06";"45,57";"58,94"
"SEZIONE 238";"";"17,00";"40,35";"46,11";"58,50"
"SEZIONE 239";"";"17,15";"39,56";"46,33";"58,09"
"SEZIONE 240";"";"11,78";"35,91";"43,24";"55,41"
"SEZIONE 241";"";"21,57";"64,71";"90,20";"98,04"
"SEZIONE 242";"";"18,22";"40,31";"45,16";"60,85"
"SEZIONE 243";"";"12,53";"34,89";"41,28";"56,51"
"SEZIONE 244";"";"15,50";"39,30";"44,32";"54,15"
"SEZIONE 245";"";"18,58";"43,46";"48,79";"60,10"
"SEZIONE 246";"";"17,98";"38,58";"47,19";"61,99"
"SEZIONE 247";"";"16,74";"40,64";"45,51";"57,69"
"SEZIONE 248";"";"19,19";"38,19";"43,91";"57,20"
"SEZIONE 249";"";"17,08";"37,16";"43,81";"59,06"
"SEZIONE 250";"";"18,39";"35,49";"40,80";"53,63"
"SEZIONE 251";"";"16,52";"31,16";"36,38";"51,30"
"SEZIONE 252";"";"17,96";"40,53";"45,35";"57,83"
"SEZIONE 253";"";"22,42";"50,99";"58,73";"70,63"
"SEZIONE 254";"";"25,75";"48,67";"59,03";"73,63"
"SEZIONE 255";"";"20,92";"43,57";"49,90";"62,19"
"SEZIONE 256";"";"15,94";"38,00";"44,31";"56,57"
"SEZIONE 257";"";"18,23";"42,79";"49,13";"58,16"
"SEZIONE 258";"";"15,11";"40,15";"45,19";"57,56"
"SEZIONE 259";"";"14,63";"35,93";"42,76";"55,93"
"SEZIONE 260";"";"18,39";"38,18";"43,43";"56,57"
"SEZIONE 261";"";"17,26";"43,34";"49,73";"61,28"
"SEZIONE 262";"";"16,67";"39,69";"46,82";"62,47"
"SEZIONE 263";"";"19,66";"40,17";"48,81";"62,37"
"SEZIONE 264";"";"18,00";"46,83";"54,67";"69,00"
"SEZIONE 265";"";"18,09";"49,01";"55,92";"67,11"
"SEZIONE 266";"";"19,34";"50,23";"55,38";"67,39"
"SEZIONE 267";"";"17,69";"44,24";"50,54";"61,80"
"SEZIONE 268";"";"18,30";"44,83";"51,86";"65,65"
"SEZIONE 269";"";"26,09";"47,45";"53,83";"68,25"
"SEZIONE 270";"";"19,64";"46,51";"53,98";"67,95"
"SEZIONE 271";"";"16,07";"35,03";"41,62";"59,39"
"SEZIONE 272";"";"18,51";"45,74";"54,45";"68,60"
"SEZIONE 273";"";"24,50";"48,39";"56,51";"72,28"
"SEZIONE 274";"";"16,40";"46,73";"54,28";"69,67"
"SEZIONE 275";"";"25,81";"51,82";"57,36";"70,55"
"SEZIONE 276";"";"17,00";"41,17";"46,17";"60,50"
"SEZIONE 277";"";"19,41";"42,01";"51,35";"67,81"
"SEZIONE 278";"";"22,73";"50,00";"55,50";"71,65"
"SEZIONE 279";"";"18,78";"47,02";"56,62";"70,45"
"SEZIONE 280";"";"21,92";"48,14";"54,44";"69,48"
"SEZIONE 281";"";"22,39";"49,25";"56,42";"72,69"
"SEZIONE 282";"";"19,97";"42,54";"50,97";"66,41"
"SEZIONE 283";"";"18,37";"40,21";"47,49";"63,08"
"SEZIONE 284";"";"21,11";"48,26";"53,41";"69,88"
"SEZIONE 285";"";"17,43";"45,73";"52,63";"69,47"
"SEZIONE 286";"";"13,07";"39,69";"46,93";"63,31"
"SEZIONE 287";"";"19,08";"50,47";"56,28";"69,43"
"SEZIONE 288";"";"18,05";"51,99";"59,03";"74,73"
"SEZIONE 289";"";"22,25";"52,61";"60,29";"75,19"
"SEZIONE 290";"";"18,12";"50,62";"57,02";"72,82"
"SEZIONE 291";"";"17,33";"41,70";"48,02";"60,06"
"SEZIONE 292";"";"18,12";"47,43";"53,47";"68,01"
"SEZIONE 293";"";"22,41";"50,00";"57,59";"72,96"
"SEZIONE 294";"";"16,09";"43,30";"51,88";"72,52"
"SEZIONE 295";"";"10,87";"30,77";"36,62";"50,84"
"SEZIONE 296";"";"13,12";"37,90";"44,31";"60,35"
"SEZIONE 297";"";"19,86";"48,01";"55,79";"68,91"
"SEZIONE 298";"";"19,46";"49,93";"56,65";"72,10"
"SEZIONE 299";"";"19,71";"45,19";"49,68";"66,19"
"SEZIONE 300";"";"16,07";"38,56";"42,72";"55,01"
"SEZIONE 301";"";"14,08";"32,24";"40,26";"54,50"
"SEZIONE 302";"";"13,06";"31,95";"35,33";"45,93"
"SEZIONE 303";"";"16,52";"41,37";"47,81";"61,40"
"SEZIONE 304";"";"15,85";"35,76";"43,20";"58,77"
"SEZIONE 305";"";"13,77";"35,33";"42,40";"54,85"
"SEZIONE 306";"";"17,79";"40,69";"46,34";"58,21"
"SEZIONE 307";"";"13,65";"34,74";"38,55";"51,00"
"SEZIONE 308";"";"18,43";"37,83";"40,85";"53,92"
"SEZIONE 309";"";"17,71";"36,25";"42,29";"55,63"
"SEZIONE 310";"";"17,00";"40,97";"49,01";"64,49"
"SEZIONE 311";"";"19,48";"42,55";"48,12";"63,99"
"SEZIONE 312";"";"14,06";"34,48";"40,58";"56,23"
"SEZIONE 313";"";"14,57";"39,37";"45,14";"62,34"
"SEZIONE 314";"";"17,07";"46,34";"52,33";"65,63"
"SEZIONE 315";"";"14,61";"38,61";"44,35";"57,04"
"SEZIONE 316";"";"15,59";"38,97";"46,20";"59,70"
"SEZIONE 317";"";"19,96";"42,61";"51,44";"67,18"
"SEZIONE 318";"";"20,52";"46,66";"52,58";"64,59"
"SEZIONE 319";"";"18,50";"47,56";"57,11";"71,95"
"SEZIONE 320";"";"17,58";"40,83";"47,86";"63,61"
"SEZIONE 321";"";"17,25";"41,37";"48,79";"62,34"
"SEZIONE 322";"";"18,73";"42,72";"49,46";"63,61"
"SEZIONE 323";"";"15,18";"42,31";"50,61";"63,16"
"SEZIONE 324";"";"15,51";"42,17";"49,71";"63,48"
"SEZIONE 325";"";"17,70";"45,13";"54,49";"68,02"
"SEZIONE 326";"";"17,56";"47,18";"55,18";"70,77"
"SEZIONE 327";"";"18,19";"44,47";"51,35";"68,60"
"SEZIONE 328";"";"21,94";"46,28";"53,97";"72,38"
"SEZIONE 329";"";"23,25";"53,12";"58,96";"72,60"
"SEZIONE 330";"";"16,34";"48,32";"56,98";"72,91"
"SEZIONE 331";"";"19,08";"44,35";"52,73";"67,80"
"SEZIONE 332";"";"22,21";"46,10";"54,62";"67,83"
"SEZIONE 333";"";"16,87";"47,91";"54,79";"70,72"
"SEZIONE 334";"";"17,64";"45,35";"52,91";"68,66"
"SEZIONE 335";"";"19,10";"51,02";"59,75";"74,76"
"SEZIONE 336";"";"19,47";"48,25";"53,24";"69,72"
"SEZIONE 337";"";"18,58";"49,17";"58,29";"74,75"
"SEZIONE 338";"";"17,72";"49,00";"54,24";"72,88"
"SEZIONE 339";"";"20,27";"46,80";"54,84";"75,56"
"SEZIONE 340";"";"23,53";"57,52";"61,93";"78,92"
"SEZIONE 341";"";"21,03";"50,90";"62,69";"76,03"
"SEZIONE 342";"";"21,66";"53,50";"63,94";"78,07"
"SEZIONE 343";"";"23,98";"49,52";"58,51";"73,38"
"SEZIONE 344";"";"18,92";"52,55";"61,14";"76,71"
"SEZIONE 345";"";"21,42";"56,89";"62,07";"76,40"
"SEZIONE 346";"";"17,69";"51,24";"59,01";"77,13"
"SEZIONE 347";"";"20,34";"47,15";"59,97";"77,33"
"SEZIONE 348";"";"23,63";"51,29";"61,58";"77,17"
"SEZIONE 349";"";"18,38";"48,34";"57,89";"73,95"
"SEZIONE 350";"";"14,73";"49,81";"58,93";"73,28"
"SEZIONE 351";"";"23,74";"55,03";"62,42";"78,46"
"SEZIONE 352";"";"18,37";"51,22";"63,58";"78,21"
"SEZIONE 353";"";"21,44";"47,49";"55,36";"66,62"
"SEZIONE 354";"";"21,39";"50,72";"59,01";"78,13"
"SEZIONE 355";"";"20,40";"57,67";"59,67";"77,12"
"SEZIONE 356";"";"19,74";"55,29";"63,79";"77,52"
"SEZIONE 357";"";"28,55";"57,10";"66,49";"75,87"
"SEZIONE 358";"";"15,59";"42,61";"51,88";"69,62"
"SEZIONE 359";"";"7,13";"17,63";"19,70";"27,20"
"SEZIONE 360";"";"20,07";"47,33";"57,08";"71,46"
"SEZIONE 361";"";"23,39";"52,27";"58,23";"71,60"
"SEZIONE 362";"";"22,32";"54,53";"60,11";"74,20"
"SEZIONE 363";"";"25,37";"53,28";"63,43";"75,67"
"SEZIONE 364";"";"20,00";"49,38";"57,65";"72,84"
"SEZIONE 365";"";"17,36";"48,78";"56,48";"72,74"
"SEZIONE 366";"";"20,87";"53,77";"59,87";"72,71"
"SEZIONE 367";"";"21,30";"51,63";"61,30";"76,74"
"SEZIONE 368";"";"20,68";"57,23";"61,59";"76,67"
"SEZIONE 369 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 370";"";"25,55";"54,15";"58,95";"71,18"
"SEZIONE 371";"";"26,72";"48,72";"62,87";"76,82"
"SEZIONE 372";"";"24,62";"53,95";"59,69";"74,23"
"SEZIONE 373";"";"22,62";"52,83";"58,62";"72,00"
"SEZIONE 374";"";"22,40";"49,05";"56,15";"67,98"
"SEZIONE 375";"";"25,29";"53,47";"59,83";"71,10"
"SEZIONE 376";"";"20,03";"50,63";"60,23";"74,33"
"SEZIONE 377";"";"23,65";"53,32";"61,33";"73,34"
"SEZIONE 378";"";"20,19";"50,60";"57,77";"70,78"
"SEZIONE 379";"";"23,48";"52,35";"59,39";"71,41"
"SEZIONE 380";"";"25,21";"50,06";"54,18";"66,67"
"SEZIONE 381";"";"21,71";"50,57";"56,96";"70,63"
"SEZIONE 382";"";"20,99";"47,40";"56,55";"71,33"
"SEZIONE 383";"";"18,84";"47,74";"54,06";"66,06"
"SEZIONE 384";"";"21,07";"47,34";"54,96";"67,31"
"SEZIONE 385";"";"18,90";"46,31";"53,13";"66,78"
"SEZIONE 386";"";"19,66";"47,92";"53,91";"66,15"
"SEZIONE 387";"";"21,37";"47,02";"53,43";"67,15"
"SEZIONE 388";"";"22,22";"52,00";"61,78";"75,85"
"SEZIONE 389";"";"19,12";"53,21";"58,99";"74,72"
"SEZIONE 390";"";"22,76";"48,22";"54,62";"67,99"
"SEZIONE 391";"";"21,90";"48,61";"58,33";"71,37"
"SEZIONE 392";"";"22,02";"53,33";"62,79";"77,05"
"SEZIONE 393";"";"21,44";"54,82";"66,06";"81,31"
"SEZIONE 394";"";"22,22";"51,81";"60,42";"73,53"
"SEZIONE 395";"";"19,77";"49,05";"60,91";"74,67"
"SEZIONE 396";"";"19,28";"47,90";"55,93";"70,06"
"SEZIONE 397";"";"20,53";"46,34";"54,86";"66,63"
"SEZIONE 398";"";"25,08";"60,70";"70,07";"79,10"
"SEZIONE 399";"";"21,76";"48,87";"57,79";"71,94"
"SEZIONE 400";"";"23,14";"53,03";"62,40";"76,31"
"SEZIONE 401";"";"20,60";"52,93";"63,55";"78,29"
"SEZIONE 402";"";"20,37";"49,44";"56,46";"70,51"
"SEZIONE 403";"";"20,45";"56,55";"61,66";"73,38"
"SEZIONE 404";"";"16,52";"48,19";"54,94";"66,08"
"SEZIONE 405";"";"20,34";"51,86";"63,82";"78,26"
"SEZIONE 406";"";"19,71";"49,06";"58,36";"73,75"
"SEZIONE 407";"";"20,47";"48,89";"59,06";"73,80"
"SEZIONE 408";"";"20,29";"47,63";"58,93";"74,36"
"SEZIONE 409";"";"22,55";"49,75";"58,87";"76,12"
"SEZIONE 410";"";"22,38";"50,19";"58,73";"74,26"
"SEZIONE 411";"";"22,13";"49,66";"58,70";"72,47"
"SEZIONE 412";"";"19,71";"50,58";"58,50";"74,71"
"SEZIONE 413";"";"21,97";"51,50";"57,35";"71,18"
