SEZIONE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,+EUROPA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,VITA,AZIONE - ITALIA VIVA - CALENDA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,MASTELLA NOI DI CENTRO EUROPEISTI,TOTALE,AFFLUENZA
317,4,4,11,21,0,72,3,59,1,11,19,53,18,7,1,320,0.592592593
318,7,11,17,24,2,114,8,43,6,36,27,60,9,10,0,404,0.637223975
319,6,6,15,22,2,67,5,64,2,22,25,69,10,7,0,353,0.69488189
320,3,10,20,36,1,101,9,54,2,31,25,49,16,9,1,396,0.605504587
321,9,9,11,21,2,62,5,54,1,15,27,77,12,16,0,348,0.660341556
322,9,7,21,31,5,123,5,77,5,26,18,57,20,8,0,436,0.583668005
323,17,12,13,16,2,57,6,60,4,8,24,43,9,2,1,296,0.57925636
324,11,13,7,27,2,91,10,94,6,19,33,51,6,3,2,402,0.568599717
325,8,8,32,40,0,142,14,69,5,53,35,89,25,23,0,568,0.686819831
326,8,7,25,40,1,148,10,68,1,49,19,71,13,12,0,509,0.645939086
327,5,7,15,31,2,133,5,43,2,55,19,91,22,17,0,483,0.673640167
328,14,8,25,53,1,166,7,71,4,38,24,89,22,13,0,572,0.699266504
329,5,10,21,40,0,163,11,37,5,72,26,79,24,22,0,564,0.739187418
330,11,9,36,45,2,166,5,42,2,53,23,91,23,8,0,558,0.756097561
331,6,22,24,21,2,137,2,59,1,48,29,110,29,11,1,544,0.656212304
332,11,13,23,23,0,73,16,52,3,85,35,125,42,20,0,581,0.686761229
333,4,5,28,44,1,132,8,52,2,59,28,71,19,7,1,504,0.697095436
334,7,3,23,25,2,126,9,38,2,54,14,76,23,14,0,449,0.699376947
335,18,8,21,56,1,125,9,46,0,65,25,94,17,25,0,544,0.740136054
336,3,10,17,20,0,91,6,29,3,63,22,88,18,11,8,412,0.663446055
337,11,13,24,50,1,175,4,56,0,63,45,102,28,20,1,642,0.718924972
338,9,19,27,52,5,110,8,61,6,29,18,63,21,15,0,465,0.685840708
